Ground Truth,GCV,ED GCV,AWS,ED AWS,Azure,ED Azure,MP,ED MP
"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
","int (input (""Enter a number: "")
num =
Ans =)
while num > 1:
Ans * = num
num - =|
1
return Ans",29,"num = int input C ""Enter a number: 11)
Ans = )
while num > / :
Ans * = num
mm - = /
return Ans",23,"num = int (input (""Enter a number: ""
Ans =1
while num > 1 :
Ans * = num
num -= 1
return Ans",16,"num = int (input (""Enter a number: "")
\[
\text { Ans = } 1
\]
while num \( >1 \) :
Ans \( *= \) num
mum - \( =1 \)
retirn Ans",45
"from karel.stanfordkarel import *
# This program makes Karel pick up a beeper and go back into her house.

def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()
# This function moves Karel to the beeper.

def move_beeper():
    for i in range(2):
        move()
    turn_right()
    move()
    turn_left()
    move()
# This function return to Karel's starting point.

def go_back():
    for i in range(2):
        turn_left()
    for i in range(3):
        move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left

if __name__ == ""__main__"":
    main()
","from Karel. stanfordkarel import *
#This
program
a beeper and
def main ():
if
Karel pick
up
back into her house,
#Move to the beeper.
makes
go
move beeper ()
#Pick the beeper up.
beeper ()
pick
#Return to Karel's starting point.
go-back ()
#This function moves Karel to the beeper.
def move-beeper ():
for i in
(2):
range
move()
turn right()
move()
turn left()
move()
# This function return to Kard's starting
def go-back();
for ?. in range
turn-left()
for i
name
main ()
move()
turn_right()
move (f
turn-right()
def turn_right()
for i in range (3) =
turn-
left
rang
e (3);
==
main____'",257,"from Karel. stanfor dkarel import *
# This program makes Karel pick up
a beeper and go back into her house.
def main () :
# Move to the beeper.
move_ beeper ()
# Pick the beeper up.
pick - - beeper
# Return to Karel's starting point.
go back ( )
# This function moves Karel to the beeper.
def move - -beeper ( ) :
for i in range (2) :
move ()
torn right ()
move ( )
turn left( )
movel )
# this function return to Karel's starting poin
def go-back() ; for i. in range (2) :
turn- left ()
for i in rang e (3) :
move()
turn-right
()
turn move() - right ()
def turn right ():
for i in range (3)
turn - left
if
name
main
main ()",195,"from Karel. stanfordkarel import *
# This program makes Kavel pick up
a beeper and go back into her house.
def main ():
# Move to the beeper.
move_ beeper ()
# Pick the beeper up.
pick- beeper ()
# Return to Karel's starting point.
go - back ()
# This function moves karel to the beeper.
def move-beeper ():
for i in range (2):
move ()
turn right ()
move ()
turn left ()
move()
# this function return to Karel's starting poin
def 90-back ();
For ?. in range (2):
turn-left ()
for i in range (3):
move()
turn right ()
move (),
turn-right ()
def turn-right () ?
for i in range (3):
turn-left
if -- name == ' -- main_';
main ()",177,"from Karel.stanfordkarel import * \#This program makes Karel pick up a beeper and go back into her house. def main ():
\#Move to the beeper. move_beeper () \# Pick the beeper up. pick - beeper () \# Return to Karel's starting point. go-back ()
\#This function moves Karel to the beeper. def move-beeper ():
for \( i \) in range (2):
move ()
turn right ()
move ()
turn leftc)
movec)
\# this function refurn to Karel's starting poin def go-back () ;
for i, in range (2):
for \( i \) in range \( (3) \) :
move ()
\[
\text { move ( } \text { tor }^{2} \mathrm{righ}(\mathrm{C})
\]
def turn-right () ?
for \( i \) in range (3):
turn-left
\[
\text { if } \operatorname{mame}_{\operatorname{man}()}==1 \ldots \text { main } \ldots
\]
\( m \operatorname{ain}() \)",306
"def main():
    # input
    my_word = input(""Enter the original word: "")
    # function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is"" + "" "" + '""' + reversed_word + '""')
# Helper function

def reverse(word):
    # reversed_word
    new_word = """"
    # char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word

if __name__ == ""__main__"":
    main()
","def main ()
#imput
my _ word = imput(""Entlo- The original wood: 7)
#Function calling
reversed word = reverse (my-word)
Print ('The
reversed wood is 1+`
#Helper FunctTION
def
Lif
reverse (woord):
#reversed -won-d
mew-won-d=""/
☆ ster by chan-
for chan- im word:
new-woo-d
return
return new_wond
mame
main()
A/
+revered_word +
=char + new-wood",210,"def main () :
# imput
my wond = inpuTC ""Enter THe original wond:
7)
#
Function calling
reversed_word = reverse (my - -word )
print C' the reversed Wood is + , + "" , + reversd-wordt 1/2)
# Helpen Function
def reverse (wond) :
# revenued -wond
new -wohd - = "" ""
# stert by chan-
for chan- in word :
new-word = Char + new-word
# retun-m
retuntm new_wond
if
name == main :
mainc)",150,"def main ( ) :
Limput
my _ word = input( Enten- The original word : 7
#Function calling
reversed- word = reverse (my-word )
Print ( the reversed word is (+) ""+""""+reversed-wordt""}
# Helpen- Function
def sevense
be (word) :
# reversed - word
mew-word = """"
A chen by chan-
For- chan- in word:
new-word = Char + new-word
# return
return new_word
name-
main 1 :
main ()",149,"defmaim ():
\&imput
\( m y \)-wond = impuT (""EnTen- THe onigimal wond: "")
Function calling
\# Helpen-Fumction
\[
\begin{array}{l}
\text { def nevense (won-d): } \\
\text { * revensed -won-d } \\
\text { mew-won-d = ""1 } \\
\text { X stent by chan- } \\
\text { for chan- im vond: } \\
\text { mew-won-d = chan }+ \text { mew-wond } \\
\text { * } r \text {-etun-m } \\
\text { nietuntm new-won-d } \\
\end{array}
\]",298
"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial for "" + str(input_nmb) + "" is "" + str(result))
","impur-number =
int(impur (""Enter number'))
val = inpur-number
result isput_number
while (val > 1):
Val - 1
result ☆ val
+
Print ('factorial for 't shy (input-node]
+ srr (result))
val
[₁
-result",80,"impur-number =
inr(inpur ('Enter number')
val = inpur-number
result input-number
while (val > 1) :
[
val =
Val - 1
result = result it val
Print ('factorial fir't shr(imput-nula)
Srr (result))",59,"inpur_number =
int(impur (""Enter number""
Val = inpur-number
result = input-number
While (val>1):
val =
val -1
result = result & val
print ('factorial f& + sur(input-node)
+ spr (result))",50,\( \begin{array}{l}\text { inpur-number = } \\ \text { inr(inpur('Entar number')) } \\ \text { val }=\text { impur-number } \\ \text { resalt - roppur-number } \\ \text { while (val }>1 \text { ): } \\ {\left[\begin{array}{c}\text { val }= \\ \text { result }=\text { result }-1 \\ \text { val }\end{array}\right.} \\ \text { pront ('factobial for' + shr(impat-nob) } \\ +\operatorname{srr}(\text { result })) \\\end{array} \),273
"def main():
    num = input(""input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
","def main ():
num = input (""imput :"")
sum
=
O
for nin num =
sum t
print (sum)
=
int (n)",49,"def main () :
num = input (""Input: "")
sum = 0
for n in num i
sum + = int (n)
print (sum)",33,"def main () :
num = input (""Input : "")
sum = 0
for n in num :
sum + = int (n)
print (sum)",34,"def \( \operatorname{main}(C) \) :
\[
\begin{array}{l}
\text { num }=\text { input (""input: "") } \\
\text { sum }=0
\end{array}
\]
for \( n \) in num:
\[
\operatorname{sum} t=\operatorname{int}(n)
\]
print (sum)",132
"def main():
    num = input(""enter the number you want to add"")
    sum = 0
    for i in str(num):
        sum = sum + int(i)
    print(""sum of the value you entered is"", sum)
","def main (s.
()!
61508x08 09
0818 TU O sloj toč
num= Impot (""enter the number you want to add)
поше
Inpri
som = 0 101
zgnivoe nuovesimixam
=0
(AD) tizoged to stopilitie nod ovoseido gnieod
aliotab ort eromeH ab10001 100 ot ti of no blert ezabelą - moosoo ucy to noilomitnoo ei tohol zid
for i in str(num): com
35100 suzel
8181882405
Sum=somt int (i)
edmult inucA
telti tuossA
""mis
Print (""sum of the value you entered is, son)
HILOM
00.000,82
log
alpä yliutoM
noitq Inomseudaid 12915ml
ASOS SS VOM
noitosilofigo inayo?
LF1",375,"SINOE
808
09
def main(s)
num= Imput (""enter the number you want to odd"")
UOV
Sum = 0
estimixom
(I)
tizoqeC
to
stooilities
@dno8
covocaiC
o
UOV
Andri
alinteb
310
enelt
ab10007
no
blort
mov
to
for i in str(mum);ass YDM
hedmuff
Sum-Sumt int (i)
reltiT
00.000,E8
Print (""sum of the Value you entered is, blan sum)
ASOS SS VDM
virutoM
noitosilation
;hoita
LA",227,"def main () .
08168 TU
11
num = input (""enter the number you want to add )
Som=0
zpnivo
1ovoseidl o prieoorla
hotel
heH
ab
ot ti of no blerl gabelq
for è in str (num) :
Vi inucoDA
Sum = Sum+ int (i)
raltil touo >A
Print (""sum of the value you entered in, som)
00.000
.1
noitosil
noitgo Inemoanu
LFT",154,"def main () :
num = Imput (""enter the number youcust to add"")
\[
\text { sum }=0
\]
for i in Mtr(num):
\[
\text { sum }=\operatorname{sum}+\operatorname{int}(i)
\]
Print (""sum or the valee yor entered is"", sum)",79
"user_input = input(""Write your string here: "")
upper = user_input.upper()
print(upper)
","input = imput ( ""write your string
user_ input. upper (1
user_
upper = user_ input
print (upper)
here: "")",50,"user_input = input(""write your string here:
1)
upper = user_input. upper(1
print (upper)",7,"user-input = input(""write your string here:
11
Upper = user_input. upper()
print (upper)",9,"user-input = imput (""write your string here: "") upper \( = \) user input upper ( ) print (upper)",18
"from karel.stanfordkarel import *
""""""
Karel should fill the whole world with beepers.
""""""

def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
","*
from Karel, starfordkarel import
han
kanel should fill the world with beepers.
1100
def main ():
#decomposition using a
function
#each associated
while left_ is_clear():
fill_one_row()
return_to_row_start()
activity
паме
for
move_up()
#rewrite code after white loop to overcome
# fencepost bug
one-how ()
fill_",121,"from karel. stanfordkarel import
will
karel should fill the world with beepers.
1110
def main() :
# decomposition using a function name for
# each associated activity
while left_is-clean
retur_to_row- start()
fill_one-row()
move_up()
# rewrite code after while loop to overcome
# fencepost bug
fill - one - -row()",105,"from Karel. stanfordkarel import *
hun
Karel should fill the world with keepers.
1100
def main () :
# decomposition using a function name for
# each associated activity
while left-is-clear ():
fill_one-row()
return_to_row-start ()
Nove-up()
# rewrite code after while loop to overcome
# fencepost bug
fill-one-row()",79,"from karel.stayfordkarel inport
IIII""
karel should fill the world with beepers.
""u u
\( \operatorname{def} \operatorname{main}() \) :
\# decomposition using a function rave for \# each associated activity while left-is_clear ():
fill-ore-row()
retur _to _ row_start \( ( \) )
nove_up ()
\# rewirite code after white loop to overcone \# fencepost bug
fill_one-row()",118
"from karel.stanfordkarel import *

def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()

def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    for i in range(2):
        turn_left()

if __name__ == ""__main__"":
    main()
","if
from karel.stanfordkarel import*
def main ()
move()
move()
turn_right()
move()
turn_left()
move()
-
pick-beeper()
return-home()
def return home()
turn-around()
move()
turn_right()
move ()
turn_left()
movel)
move()
turn_around ()
def turn_right()
for i in range (3):
turn-left()
def turn around ()
for i in range (2):
turn_left()
name.
main()
^_main_",144,"from karel.stamfordkaral import
def main()
move()
move()
turn-right(
move()
turn-left()
move()
pick. beeper()
return-home()
def return_home()
t#urn_around()
move()
turn_right(?
move ()
turn- left()
movel)
move()
turn_around()
def turn-right()
for i in range (3):
turn- left()
def turn. around ()
for i in range (2):
turn-left()
if name - main' :
mainl",146,"from karel. stanfordkarel import*
det main ()
move()
move()
turn-right ()
move()
turn-left()
move()
pick-beeper()
return-home()
def return_home()
turn-around()
move()
turn-right ()
move ()
turn-left ()
move()
move()
turn-around()
det turn-right()
for i in range (3):
turn-left ()
def turn- around()
for i in range (2):
turn-left ()
if
name
== '_main ' :
main()",144,"from karel. stanfordkarel import *
def main ()
move ()
move()
turn-right ()
move ()
turn-leff()
move ()
pick-beeper ()
return-home()
def return_home()
trurn_around()
move ()
turn_right()
move ()
turn_left ()
movel)
move ()
turn_around ()
def turn-right ()
for \( i \) in range (3):
turn-left ()
def turn around()
for \( i \) in range (2):
turn-left \( ( \) )
if \( \operatorname{mame}_{-\operatorname{main}()}== \) __main', :",193
"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string: "")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)

if __name__ == ""__main__"":
    main()
","def main ():
rauel caunl=0
vawels = ['a', 'e', 'i', '0', 'u']
""input-string = ""input (""Enter the string:"")
impret string = ""impret_string= lawer ()
for chaor in `imput string:
for vauvel in vamels:
if char = = vowel:
vauvel_cament + = 1
point (vowel count)
`__main_
y__name__ =
main ()
INN
':",148,"dy main ():
vawel_count==0
vawels ['a' 'e' ii, 'o', 'u' ]
input- string= input (""Enter the striegn""."")
input string. lower()
for char in input string:
for vawel 'en vawels:
if char== vowel:
valuel-calest += 1
point (newel count)
if name main__':
main()",146,"de main () :
vowel-count=0
vowels= ['à','e', 'i', 'o','u']
input_string = input (""Enter the string:"")
input string = input_string . lower ()
for char in input string:
for vowel in vowels :
if char == vawel:
vowel-count +=1
print (nouvel count)
if _name_ = = '_main _- ':
main ()",115,"de main ():
vouel caunt \( =0 \)
input_string = input (""Enter the string:"")
input_string = inpet_string. lawer()
for choor in input string:
for vauel 'en vauch:
if char = = vouel:
valuel-caunt \( +=1 \)
print (veuel caunt)
\[
\begin{array}{l}
\text { if _-name__ }==\text { '_ main_- } \\
\operatorname{main}() \\
\end{array}
\]",210
