Ground Truth,GCV DP,ED GCV DP,AWS DP,ED AWS DP,Azure DP,ED Azure DP,MP DP,ED MP DP
"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
","int(input(""Enter a number: ""))
num = Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
",12,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
",0,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
",0,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
retirn Ans
",1
"from karel.stanfordkarel import *

# This program makes Karel pick up a beeper and go back into her house.


def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves Karel to the beeper.


def move_beeper():
    for i in range(2):
        move()
    turn_right()
    move()
    turn_left()
    move()


# This function return to Karel's starting point.


def go_back():
    for i in range(2):
        turn_left()
    for i in range(3):
        move()
    turn_right()
    move()
    turn_right()


def turn_right():
    for i in range(3):
        turn_left


if __name__ == ""__main__"":
    main()
","from Karel.stanfordkarel import *

# This program makes Karel pick up a beeper and go back into her house.


def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves Karel to the beeper.


def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# This function return to Karel's starting point.


def go_back():
    for i in range(3):
        turn_left()
        for i in range(3):
            move()
            turn_right()
            move()
            turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",52,"from karel.stanfordkarel import *

# This program makes Karel pick up
# a beeper and go back into her house.


def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves Karel to the beeper.


def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# this function return to Karel's starting point


def go_back():
    for i in range(2):
        turn_left()
    for i in range(3):
        move()
        turn_right()
        move()
        turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",34,"from karel.stanfordkarel import *

# This program makes Karel pick up
# a beeper and go back into her house.


def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves karel to the beeper.


def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# this function return to Karel's starting point


def go_back():
    for i in range(2):
        turn_left()
        for i in range(3):
            move()
        turn_right()
        move()
        turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",43,"from Karel.stanfordkarel import *  # This program makes Karel pick up a beeper and go back into her house.


def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves Karel to the beeper.


def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# this function return to Karel's starting point


def go_back():
    for i in range(2):
        for i in range(3):
            move()
            turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",63
"def main():
    # input
    my_word = input(""Enter the original word: "")
    # function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is"" + "" "" + '""' + reversed_word + '""')


# Helper function


def reverse(word):
    # reversed_word
    new_word = """"
    # char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word


if __name__ == ""__main__"":
    main()
","def main():
    # imput
    my_word = imput(""Enter the original word: "")
    # Function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is "" + reversed_word)


# Helper Function


def reverse(word):
    # reversed word
    new_word = """"
    # step by char
    for char in word:
        new_word = char + new_word
    return new_word


main()
",70,"def main():
    # input
    my_word = input(""Enter The original word: "")
    # Function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is: "", reversed_word)


# Helper Function


def reverse(word):
    # reversed_word
    new_word = """"
    # start by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word


if __name__ == ""__main__"":
    main()
",25,"def main():
    my_word = input(""Enter The original word : "")
    # Function calling
    reversed_word = reverse(my_word)
    print(""the reversed word is "" + reversed_word)


# Helper Function


def reverse(word):
    # reversed word
    new_word = """"
    # char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word


if __name__ == ""__main__"":
    main()
",35,"def main():
    my_word = input(""Enter the original word: "")


# Helper Function


def reverse(word):
    reversed_word = """"
    for char in word:
        reversed_word = char + reversed_word
    return new_word
",240
"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial for "" + str(input_nmb) + "" is "" + str(result))
","input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial for "" + str(input_number) + "" is "" + str(result))
",3,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial for"", str(input_number), str(result))
",16,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result & val
print(""factorial of "" + str(input_number) + "" is "" + str(result))
",6,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result - 1
print(""factorial for "" + str(input_number) + "" is "" + str(result))
",7
"def main():
    num = input(""input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
","def main():
    num = input(""imput :"")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",3,"def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",1,"def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",1,"def main(C):
    num = input(""input: "")
    sum = 0
    for n in num:
        sum = int(n)
    print(sum)
",2
"def main():
    num = input(""enter the number you want to add"")
    sum = 0
    for i in str(num):
        sum = sum + int(i)
    print(""sum of the value you entered is"", sum)
","def main(s):
    num = input(""enter the number you want to add"")
    sum = 0
    for i in str(num):
        sum = sum + int(i)
    print(""sum of the value you entered is"", sum)
",1,"def main(s):
    num = input(""enter the number you want to odd"")
    Sum = 0
    for i in str(num):
        Sum = Sum + int(i)
    print(""sum of the Value you entered is, "", Sum)
",9,"def main():
    num = input(""enter the number you want to add"")
    Sum = 0
    for i in str(num):
        Sum = Sum + int(i)
    print(""sum of the value you entered is"", Sum)
",4,"def main():
    num = input(""enter the number you want to add"")
    sum = 0
    for i in str(num):
        sum = sum + int(i)
    print(""sum of the value you entered is"", sum)
",0
"user_input = input(""Write your string here: "")
upper = user_input.upper()
print(upper)
","input = input(""write your string here: "")
user_upper = user_input.upper()
print(upper)
",11,"user_input = input(""write your string here:"")
upper = user_input.upper(1)
print(upper)
",3,"user_input = input(""write your string here: "")
Upper = user_input.upper()
print(Upper)
",3,"user_input = imput(""write your string here: "")
upper = user_input.upper()
print(upper)
",2
"from karel.stanfordkarel import *

""""""
Karel should fill the whole world with beepers.
""""""


def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
","from Karel, starfordkarel import *
# Karel should fill the world with beepers.

def main ():
    # Decomposition using a function
    # Each associated activity
    while left_ is_clear():
        fill_one_row()
        return_to_row_start()
    # Rewrite code after white loop to overcome fencepost bug
    move_up()
    fill_one_row()
",73,"from karel.stanfordkarel import *

# karel should fill the world with beepers.


def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clean:
        retur_to_row_start()
        fill_one_row()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",47,"from karel.stanfordkarel import *

# Karel should fill the world with beepers.


def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",14,"from karel.stanfordkarel import *

""""""
karel should fill the world with beepers.
""""""


def main():
    # decomposition using a function rave for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after white loop to overcome
    # fencepost bug
    fill_one_row()
",10
"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
","from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",0,"from karel.stamfordkaral import *

def main():
    move()
    move()
    turn-right()
    move()
    turn-left()
    move()
    pick. beeper()
    return-home()

def return_home():
    t#urn_around()
    move()
    turn_right(?
    move ()
    turn- left()
    movel)
    move()
    turn_around()

def turn-right():
    for i in range (3):
        turn- left()

def turn. around ():
    for i in range (2):
        turn-left()
if name - main' :
    mainl
",42,"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",0,"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",0
"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string: "")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)


if __name__ == ""__main__"":
    main()
","def main():
    rauel_caunl = 0
    vawels = [""a"", ""e"", ""i"", ""0"", ""u""]
    input_string = input(""Enter the string:"")
    impret_string = input_string.lower()
    for chaor in impret_string:
        for vauvel in vawels:
            if chaor == vauvel:
                rauel_caunl += 1
    print(rauel_caunl)


if __name__ == ""__main__"":
    main()
",33,"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string: "")
    input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)


if __name__ == ""__main__"":
    main()
",15,"nan
",339,"def main():
    vouel_caunt = 0
    input_string = input(""Enter the string:"")
    input_string = input_string.lower()
    for char in input_string:
        for vauel in ""aeiou"":
            if char == vauel:
                vouel_caunt += 1
    print(vouel_caunt)


if __name__ == ""__main__"":
    main()
",57
