Ground Truth,Google OCR,ED Google OCR,MP,ED MP,LM Low,ED LM Low,LM Medium,ED LM Medium,LM High,ED LM High
"num = int(input(""enter a number: ""))
ans = 1
while num > 1:
ans *= num
num -= 1
return ans","int (input (""enter a number: "")
num =
ans =)
while num > 1:
ans * = num
num - =|
1
return ans",20,"num = int (input (""enter a number: "")
\[
ext { ans = } 1
\]
while num \( >1 \) :
ans \( *= \) num
mum - \( =1 \)
retirn ans",38,"num = int(input(""enter a number: ""))
ans = 1
while num > 1:
ans *= num
num -= 1
return ans",0,"num = int(input(""enter a number: ""))
ans = 1
while num > 1:
ans *= num
num -= 1
return ans",0,"num = int(input(""enter a number: ""))
ans = 1
while num > 1:
ans *= num
num -= 1
return ans",0
"from karel.stanfordkarel import *
# this program makes karel pick up a beeper and go back into her house.
def main():
# move to the beeper.
move_beeper()
# pick the beeper up.
pick_beeper()
# return to karel's starting point.
go_back()
# this function moves karel to the beeper.
def move_beeper():
for i in range(2):
move()
turn_right()
move()
turn_left()
move()
# this function return to karel's starting point.
def go_back():
for i in range(2):
turn_left()
for i in range(3):
move()
turn_right()
move()
turn_right()
def turn_right():
for i in range(3):
turn_left
if __name__ == '__main__':
main()","from karel. stanfordkarel import *
#this
program
a beeper and
def main ():
if
karel pick
up
back into her house,
#move to the beeper.
makes
go
move beeper ()
#pick the beeper up.
beeper ()
pick
#return to karel's starting point.
go-back ()
#this function moves karel to the beeper.
def move-beeper ():
for i in
(2):
range
move()
turn right()
move()
turn left()
move()
# this function return to kard's starting
def go-back();
for ?. in range
turn-left()
for i
name
main ()
move()
turn_right()
move (f
turn-right()
def turn_right()
for i in range (3) =
turn-
left
rang
e (3);
==
main____'",158,"from karel.stanfordkarel import * \#this program makes karel pick up a beeper and go back into her house. def main ():
\#move to the beeper. move_beeper () \# pick the beeper up. pick - beeper () \# return to karel's starting point. go-back ()
\#this function moves karel to the beeper. def move-beeper ():
for \( i \) in range (2):
move ()
turn right ()
move ()
turn leftc)
movec)
\# this function refurn to karel's starting poin def go-back () ;
for i, in range (2):
for \( i \) in range \( (3) \) :
move ()
\[
ext { move ( } ext { tor }^{2} \mathrm{righ}(\mathrm{c})
\]
def turn-right () ?
for \( i \) in range (3):
turn-left
\[
ext { if } \operatorname{mame}_{\operatorname{man}()}==1 \ldots ext { main } \ldots
\]
\( m \operatorname{ain}() \)",234,"from karel.stanfordkarel import *
# this program makes karel pick up a beeper and go back into her house.
def main():
# move to the beeper.
move_beeper()
# pick the beeper up.
pick_beeper()
# return to karel's starting point.
go_back()
# this function moves karel to the beeper.
def move_beeper():
for i in range(2):
move()
turn_right()
move()
turn_left()
move()
# this function returns karel to her starting point.
def go_back():
for i in range(2):
for i in range(3):
move()
move()
turn_right()
# this function makes karel turn right.
def turn_right():
for i in range(3):
turn_left()
if __name__ == ""__main__"":
main()",62,"from karel.stanfordkarel import *
#this program makes karel pick up a beeper and go back into her house.
def main():
# move to the beeper.
move_beeper()
# pick the beeper up.
pick_beeper()
# return to karel's starting point.
go_back()
#this function moves karel to the beeper.
def move_beeper():
for i in range(2):
move()
turn_right()
move()
turn_left()
move()
# this function returns to karel's starting point
def go_back():
for i in range(2):
for i in range(3):
move()
move_to_right()
def turn_right():
for i in range(3):
turn_left()
if __name__ == ""__main__"":
main()",39,"from karel.stanfordkarel import *
# this program makes karel pick up a beeper and go back into her house.
def main():
# move to the beeper.
move_beeper()
# pick the beeper up.
pick_beeper()
# return to karel's starting point.
go_back()
# this function moves karel to the beeper.
def move_beeper():
for i in range(2):
move()
turn_right()
move()
turn_left()
move()
# this function return to karel's starting point
def go_back():
for i in range(2):
for i in range(3):
move()
def move():
# add your move definition here
def turn_right():
for i in range(3):
turn_left()
def turn_left():
# add your turn left definition here
def pick_beeper():
# add your pick beeper definition here
if __name__ == ""__main__"":
main()",162
"def main():
# input
my_word = input(""enter the original word: "")
# function calling
reversed_word = reverse(my_word)
print('the reversed word is'+' '+ '""'+reversed_word+'""')
# helper function
def reverse(word):
# reversed_word
new_word = """"
# char by char
for char in word:
new_word = char + new_word
# return
return new_word
if __name__ == '__main__':
main()","def main ()
#imput
my _ word = imput(""entlo- the original wood: 7)
#function calling
reversed word = reverse (my-word)
print ('the
reversed wood is 1+'
#helper functtion
def
lif
reverse (woord):
#reversed -won-d
mew-won-d=""/
ster by chan-
for chan- im word:
new-woo-d
return
return new_wond
mame
main()
a/
+revered_word +
=char + new-wood",140,"defmaim ():
\&imput
\( m y \)-wond = imput (""enten- the onigimal wond: "")
function calling
\# helpen-fumction
\[
egin{array}{l}
ext { def nevense (won-d): } \
ext { * revensed -won-d } \
ext { mew-won-d = ""1 } \
ext { x stent by chan- } \
ext { for chan- im vond: } \
ext { mew-won-d = chan }+ ext { mew-wond } \
ext { * } r ext {-etun-m } \
ext { nietuntm new-won-d } \
\end{array}
\]",257,"def main():
# input
my_word = input(""enter the original word: "")
# function calling
# helper function
def reverse(word):
reversed_word = """"
for char in word:
reversed_word = char + reversed_word
return reversed_word
result = reverse(my_word)
return result",176,"def main():
my_word = input(""enter the original word: "")
# function calling
# helper function
def reverse(word):
reversed_word = """"
for char in word:
reversed_word = char + reversed_word
return reversed_word
result = main()",171,"def main():
# input
my_word = input(""enter the original word: "")
# function calling
reverse(my_word)
# helper function
def reverse(word):
# reversing word
new_word = """"
for char in word:
new_word = char + new_word
return new_word
# result being returned
result = main()
print(result)",143
"input_number = int(input(""enter number""))
val = input_number
result = input_number
while (val > 1):
val = val - 1
result = result * val
print('factorial for '+str(input_nmb)+ ' is '+str(result))","impur-number =
int(impur (""enter number'))
val = inpur-number
result isput_number
while (val > 1):
val - 1
result val
+
print ('factorial for 't shy (input-node]
+ srr (result))
val
[1
-result",66,"\( egin{array}{l} ext { inpur-number = } \ ext { inr(inpur('entar number')) } \ ext { val }= ext { impur-number } \ ext { resalt - roppur-number } \ ext { while (val }>1 ext { ): } \ {\left[egin{array}{c} ext { val }= \ ext { result }= ext { result }-1 \ ext { val }\end{array}
ight.} \ ext { pront ('factobial for' + shr(impat-nob) } \ +\operatorname{srr}( ext { result })) \\end{array} \)",241,"input_number = int(input('enter number'))
val = input_number
result = input_number
while (val > 1):
val -= 1
result *= val
print('factorial for' + str(input_number) + ' is ' + str(result))",28,"input_number = int(input('enter number'))
val = input_number
result = input_number
while (val > 1):
val = result = result - 1
print ('factorial for' + str(input_number) + str(result))",27,"input_number = int(input('enter number'))
val = input_number
result = input_number
while(val > 1):
val = val - 1
result = result * val
print('factorial for ' + str(input_number) + ' is ' + str(result))",11
"def main():
num = input(""input: "")
sum = 0
for n in num:
sum += int(n)
print(sum)","def main ():
num = input (""imput :"")
sum
=
o
for nin num =
sum t
print (sum)
=
int (n)",25,"def \( \operatorname{main}(c) \) :
\[
egin{array}{l}
ext { num }= ext { input (""input: "") } \
ext { sum }=0
\end{array}
\]
for \( n \) in num:
\[
\operatorname{sum} t=\operatorname{int}(n)
\]
print (sum)",126,"def main(c):
num = input(""input: "")
total_sum = 0
for n in num:
total_sum += int(n)
print(total_sum)
return total_sum",36,"def main(c):
num = input(""input: "")
sum = 0
for n in num:
sum += int(n)
print(sum)",1,"def main(c):
num = input(""input: "")
sum = 0
for n in num:
sum += int(n)
print(sum)",1
"def main():
num = input(""enter the number you want to add"")
sum = 0
for i in str(num):
sum = sum + int(i)
print(""sum of the value you entered is"", sum)","def main (s.
()!
61508x08 09
0818 tu o sloj toc
num= impot (""enter the number you want to add)
poshe
inpri
som = 0 101
zgnivoe nuovesimixam
=0
(ad) tizoged to stopilitie nod ovoseido gnieod
aliotab ort eromeh ab10001 100 ot ti of no blert ezabela - moosoo ucy to noilomitnoo ei tohol zid
for i in str(num): com
35100 suzel
8181882405
sum=somt int (i)
edmult inuca
telti tuossa
""mis
print (""sum of the value you entered is, son)
hilom
00.000,82
log
alpa yliutom
noitq inomseudaid 12915ml
asos ss vom
noitosilofigo inayo?
lf1",388,"def main () :
num = imput (""enter the number youcust to add"")
\[
ext { sum }=0
\]
for i in mtr(num):
\[
ext { sum }=\operatorname{sum}+\operatorname{int}(i)
\]
print (""sum or the valee yor entered is"", sum)",70,"def main():
num = input(""enter the number you want to add"")
sum = 0
for i in str(num):
sum = sum + int(i)
print(""sum of the values you entered is"", sum)",1,"def main():
num = input(""enter the number you want to add: "")
sum = 0
for i in str(num):
sum = sum + int(i)
print(""sum of the values you entered is"", sum)
return sum",14,"def main():
num = input(""enter the number you want to add: "")
total_sum = 0
for i in str(num):
total_sum = total_sum + int(i)
print(""sum of the values you entered is: "", total_sum)
main()",36
"user_input = input(""write your string here: "")
upper = user_input.upper()
print(upper)","input = imput ( ""write your string
user_ input. upper (1
user_
upper = user_ input
print (upper)
here: "")",50,"user-input = imput (""write your string here: "") upper \( = \) user input upper ( ) print (upper)",16,"user_input = input(""write your string here: "")
upper = user_input.upper()
print (upper)",1,"user_input = input(""write your string here: "")
upper = user_input.upper()
print(upper)",0,"user_input = input(""write your string here: "")
upper = user_input.upper()
print(upper)",0
"from karel.stanfordkarel import *
""""""
karel should fill the whole world with beepers.
""""""
def main():
# decomposition using a function name for
# each associated activity
while left_is_clear():
fill_one_row()
return_to_row_start()
move_up()
# rewrite code after while loop to overcome
# fencepost bug
fill_one_row()","*
from karel, starfordkarel import
han
kanel should fill the world with beepers.
1100
def main ():
#decomposition using a
function
#each associated
while left_ is_clear():
fill_one_row()
return_to_row_start()
activity
pame
for
move_up()
#rewrite code after white loop to overcome
# fencepost bug
one-how ()
fill_",78,"from karel.stayfordkarel inport
iiii""
karel should fill the world with beepers.
""u u
\( \operatorname{def} \operatorname{main}() \) :
\# decomposition using a function rave for \# each associated activity while left-is_clear ():
fill-ore-row()
retur _to _ row_start \( ( \) )
nove_up ()
\# rewirite code after white loop to overcone \# fencepost bug
fill_one-row()",84,"from karel.stanfordkarel import *
""""""
karel should fill the world with beepers.
""""""
def main():
# decomposition using a function name for
# each associated activity
while left_is_clear():
fill_one_row()
return_to_row_start()
move_up()
# rewrite code after while loop to overcome
# fencepost bug
fill_one_row()",6,"from karel.stanfordkarel import *
""""""
karel should fill the world with beepers.
""""""
def main():
# decomposition using a function rave for
# each associated activity
while left_is_clear():
fill_one_row()
return_to_row_start()
move_up()
# rewrite code after white loop to overcome
# fencepost bug
fill_one_row()",9,"from karel.stanfordkarel import *
""""""
karel should fill the world with beepers.
""""""
def main():
# decomposition using a function rule for
# each associated activity
while left_is_clear():
fill_one_row()
return_to_row_start()
move_up()
# rewrite code after while loop to overcome
# fencepost bug
fill_one_row()",9
"from karel.stanfordkarel import *
def main():
move()
move()
turn_right()
move()
turn_left()
move()
pick_beeper()
return_home()
def return_home():
turn_around()
move()
turn_right()
move()
turn_left()
move()
move()
turn_around()
def turn_right():
for i in range (3):
turn_left()
def turn_around():
for i in range (2):
turn_left()
if __name__ == '__main__':
main()","if
from karel.stanfordkarel import*
def main ()
move()
move()
turn_right()
move()
turn_left()
move()
-
pick-beeper()
return-home()
def return home()
turn-around()
move()
turn_right()
move ()
turn_left()
movel)
move()
turn_around ()
def turn_right()
for i in range (3):
turn-left()
def turn around ()
for i in range (2):
turn_left()
name.
main()
^_main_",42,"from karel. stanfordkarel import *
def main ()
move ()
move()
turn-right ()
move ()
turn-leff()
move ()
pick-beeper ()
return-home()
def return_home()
trurn_around()
move ()
turn_right()
move ()
turn_left ()
movel)
move ()
turn_around ()
def turn-right ()
for \( i \) in range (3):
turn-left ()
def turn around()
for \( i \) in range (2):
turn-left \( ( \) )
if \( \operatorname{mame}_{-\operatorname{main}()}== \) __main', :",99,"from karel.stanfordkarel import *
def main():
move()
move()
turn_right()
move()
turn_left()
move()
pick_beeper()
return_home()
def return_home():
turn_around()
move()
turn_right()
move()
turn_left()
move()
move()
turn_around()
def turn_right():
for i in range(3):
turn_left()
def turn_around():
for i in range(2):
turn_left()
if __name__ == '__main__':
main()",2,"from karel.stanfordkarel import *
def main():
move()
move()
turn_right()
move()
turn_left()
move()
pick_beeper()
return_home()
def return_home():
turn_around()
move()
turn_right()
move()
turn_left()
move()
move()
turn_around()
def turn_right():
for i in range(3):
turn_left()
def turn_around():
for i in range(2):
turn_left()
if __name__ == '__main__':
main()",2,"from karel.stanfordkarel import *
def main():
move()
move()
turn_right()
move()
turn_left()
move()
pick_beeper()
return_home()
def return_home():
turn_around()
move()
turn_right()
move()
turn_left()
move()
move()
turn_around()
def turn_right():
for i in range(3):
turn_left()
def turn_around():
for i in range(2):
turn_left()
if __name__ == '__main__':
main()",2
"def main():
vowel_count = 0
vowels = ['a', 'e', 'i', 'o', 'u']
input_string = input(""enter the string: "")
input_string = input_string.lower()
for char in input_string:
for vowel in vowels:
if char == vowel:
vowel_count += 1
print(vowel_count)
if __name__ == '__main__':
main()","def main ():
rauel caunl=0
vawels = ['a', 'e', 'i', '0', 'u']
""input-string = ""input (""enter the string:"")
impret string = ""impret_string= lawer ()
for chaor in 'imput string:
for vauvel in vamels:
if char = = vowel:
vauvel_cament + = 1
point (vowel count)
'__main_
y__name__ =
main ()
inn
':",72,"de main ():
vouel caunt \( =0 \)
input_string = input (""enter the string:"")
input_string = inpet_string. lawer()
for choor in input string:
for vauel 'en vauch:
if char = = vouel:
valuel-caunt \( +=1 \)
print (veuel caunt)
\[
egin{array}{l}
ext { if _-name__ }== ext { '_ main_- } \
\operatorname{main}() \
\end{array}
\]",145,"def main():
vowel_count = 0
input_string = input (""enter the string:"")
input_string = input_string.lower()
for char in input_string:
for vowel in ""aeiou"":
if char == vowel:
vowel_count += 1
print (vowel_count )
if __name__ == '__main__':
main()",46,"def main():
vowel_count = 0
input_string = input(""enter the string:"")
input_string = input_string.lower()
for char in input_string:
for vowel in 'aeiou':
if char == vowel:
vowel_count += 1
print(vowel_count)
if __name__ == '__main__':
main()",43,"def main():
vowel_count = 0
input_string = input(""enter the string:"")
input_string = input_string.lower()
for char in input_string:
for vowel in 'aeiou':
if char == vowel:
vowel_count += 1
print(vowel_count)
if __name__ == ""__main__"":
main()",45
